year,category,share,sales_b,note
2018,Produce,0.205,3.530,Modeled department mix applied to 10-K store sales
2018,Grocery,0.268,4.615,Includes specialty; 365 is strongest here
2018,Fresh,0.292,5.028,Meat seafood dairy bakery rolled up
2018,Prepared,0.135,2.325,Modeled
2018,Wellness,0.100,1.722,Modeled
2019,Produce,0.208,3.576,Modeled
2019,Grocery,0.262,4.504,Modeled
2019,Fresh,0.290,4.985,Modeled
2019,Prepared,0.138,2.372,Modeled
2019,Wellness,0.102,1.753,Modeled
2020,Produce,0.200,3.246,Modeled
2020,Grocery,0.270,4.382,Modeled
2020,Fresh,0.293,4.755,Modeled
2020,Prepared,0.118,1.915,COVID mix shift out of prepared
2020,Wellness,0.119,1.931,Modeled
2021,Produce,0.204,3.484,Modeled
2021,Grocery,0.262,4.475,Modeled
2021,Fresh,0.290,4.953,Modeled
2021,Prepared,0.132,2.255,Modeled
2021,Wellness,0.112,1.913,Modeled
2022,Produce,0.208,3.944,Modeled
2022,Grocery,0.255,4.835,Modeled
2022,Fresh,0.282,5.347,Modeled
2022,Prepared,0.142,2.692,Modeled
2022,Wellness,0.113,2.142,Modeled
2023,Produce,0.210,4.206,Modeled
2023,Grocery,0.252,5.048,Modeled
2023,Fresh,0.278,5.568,Modeled
2023,Prepared,0.146,2.924,Modeled
2023,Wellness,0.114,2.283,Modeled
2024,Produce,0.211,4.477,Modeled
2024,Grocery,0.250,5.305,Modeled
2024,Fresh,0.274,5.814,Modeled
2024,Prepared,0.150,3.183,Modeled
2024,Wellness,0.115,2.440,Modeled
2025,Produce,0.212,4.783,Modeled
2025,Grocery,0.248,5.595,Modeled
2025,Fresh,0.270,6.091,Modeled
2025,Prepared,0.154,3.474,Modeled
2025,Wellness,0.116,2.617,Modeled
2026,Produce,0.213,4.984,2026 YTD annualized
2026,Grocery,0.246,5.756,2026 YTD annualized
2026,Fresh,0.268,6.271,2026 YTD annualized
2026,Prepared,0.156,3.650,2026 YTD annualized
2026,Wellness,0.117,2.738,2026 YTD annualized
